mode,monthOf,avg_wkd_rides
Regular Bus,2021-10-01,78376
Regular Bus,2021-11-01,74105
Regular Bus,2021-12-01,62625
Regular Bus,2022-01-01,57160
Regular Bus,2022-02-01,66775
Regular Bus,2022-03-01,69977
Regular Bus,2022-04-01,73613
Regular Bus,2022-05-01,74376
Regular Bus,2022-06-01,73653
Regular Bus,2022-07-01,73232
Regular Bus,2022-08-01,75945
Regular Bus,2022-09-01,86727
Total,2019-01-01,214582
Total,2019-02-01,243444
Total,2019-03-01,257758
Total,2019-04-01,263074
Total,2019-05-01,257271
Total,2019-06-01,251412
Total,2019-07-01,250180
Total,2019-08-01,260315
Total,2019-09-01,271655
Total,2019-10-01,265082
Total,2019-11-01,252396
Total,2019-12-01,230540
Total,2020-01-01,231534
Total,2020-02-01,249005
Total,2020-03-01,158467
Total,2020-04-01,68764
Total,2020-05-01,63458
Total,2020-06-01,63077
Total,2020-07-01,83251
Total,2020-08-01,84219
Total,2020-09-01,86068
Total,2020-10-01,86867
Total,2020-11-01,85983
Total,2020-12-01,79561
Total,2021-01-01,81351
Total,2021-02-01,81126
Total,2021-03-01,90594
Total,2021-04-01,87876
Total,2021-05-01,92312
Total,2021-06-01,95130
Total,2021-07-01,95662
Total,2021-08-01,98433
Total,2021-09-01,123209
Total,2021-10-01,124537
Total,2021-11-01,117897
Total,2021-12-01,101745
Total,2022-01-01,91627
Total,2022-02-01,106750
Total,2022-03-01,114045
Total,2022-04-01,118994
Total,2022-05-01,119870
Total,2022-06-01,119578
Total,2022-07-01,117645
Total,2022-08-01,120670
Total,2022-09-01,141004
