"date","route","rides"
2009-08-22,3,2553
2009-08-23,3,1785
2009-08-24,3,6194
2009-08-25,3,5686
2009-08-26,3,6241
2009-08-27,3,6968
2009-08-28,3,6102
2009-08-29,3,3333
2009-08-30,3,2619
2009-08-31,3,6733
2009-09-01,3,6904
2009-09-02,3,7220
2009-09-03,3,7259
2009-09-04,3,7003
2009-09-05,3,3155
2009-09-06,3,2771
2009-09-07,3,3154
2009-09-08,3,10098
2009-09-09,3,10525
2009-09-10,3,10598
2009-09-11,3,9744
2009-09-12,3,3608
2009-09-13,3,2355
2009-09-14,3,10729
2009-09-15,3,11006
2009-09-16,3,10694
2009-09-17,3,11046
2009-09-18,3,9535
2009-09-19,3,3246
2009-09-20,3,2162
2009-09-21,3,10840
2009-09-22,3,10892
2009-09-23,3,11020
2009-09-24,3,11242
2009-09-25,3,9608
2009-09-26,3,3165
2009-09-27,3,2015
2009-09-28,3,10732
2009-09-29,3,11351
2009-09-30,3,11248
2009-10-01,3,11346
2009-10-02,3,10278
2009-10-03,3,3172
2009-10-04,3,2357
2009-10-05,3,11448
2009-10-06,3,11782
2009-10-07,3,11774
2009-10-08,3,11531
2009-10-09,3,10446
2009-10-10,3,3304
2009-10-11,3,2090
2009-10-12,3,11737
2009-10-13,3,12303
2009-10-14,3,12149
2009-10-15,3,11933
2009-10-16,3,9649
2009-10-17,3,2993
2009-10-18,3,2177
2009-10-19,3,11100
2009-10-20,3,11650
2009-10-21,3,11669
2009-10-22,3,11571
2009-10-23,3,9648
2009-10-24,3,2763
2009-10-25,3,2035
2009-10-26,3,11460
2009-10-27,3,11614
2009-10-28,3,11684
2009-10-29,3,12033
2009-10-30,3,10198
2009-10-31,3,3546
2009-11-01,3,2107
2009-11-02,3,11733
2009-11-03,3,12175
2009-11-04,3,11756
2009-11-05,3,11869
2009-11-06,3,9742
2009-11-07,3,3275
2009-11-08,3,2010
2009-11-09,3,11375
2009-11-10,3,11886
2009-11-11,3,11347
2009-11-12,3,11998
2009-11-13,3,10142
2009-11-14,3,3098
2009-11-15,3,2184
2009-11-16,3,12012
2009-11-17,3,11861
2009-11-18,3,12257
2009-11-19,3,12120
2009-11-20,3,10137
2009-11-21,3,3209
2009-11-22,3,2195
2009-11-23,3,11221
2009-11-24,3,11495
2009-11-25,3,8668
2009-11-26,3,1092
2009-11-27,3,2539
2009-11-28,3,2161
2009-11-29,3,1834
2009-11-30,3,11404
2009-12-01,3,12072
2009-12-02,3,12268
2009-12-03,3,12540
2009-12-04,3,10458
2009-12-05,3,3186
2009-12-06,3,1954
2009-12-07,3,11581
2009-12-08,3,12188
2009-12-09,3,12050
2009-12-10,3,11351
2009-12-11,3,10465
2009-12-12,3,3378
2009-12-13,3,2276
2009-12-14,3,11785
2009-12-15,3,11828
2009-12-16,3,11628
2009-12-17,3,9138
2009-12-18,3,8893
2009-12-19,3,3653
2009-12-20,3,1980
2009-12-21,3,7961
2009-12-22,3,7282
2009-12-23,3,5800
2009-12-24,3,1993
2009-12-25,3,873
2009-12-26,3,1763
2009-12-27,3,1446
2009-12-28,3,4617
2009-12-29,3,4818
2009-12-30,3,4627
2009-12-31,3,4239
2010-01-01,3,1249
2010-01-02,3,1577
2010-01-03,3,1352
2010-01-04,3,5731
2010-01-05,3,5729
2010-01-06,3,5957
2010-01-07,3,5794
2010-01-08,3,5684
2010-01-09,3,2066
2010-01-10,3,1572
2010-01-11,3,6523
2010-01-12,3,6636
2010-01-13,3,6570
2010-01-14,3,6669
2010-01-15,3,6505
2010-01-16,3,2458
2010-01-17,3,1999
2010-01-18,3,3866
2010-01-19,3,11912
2010-01-20,3,12332
2010-01-21,3,12514
2010-01-22,3,10289
2010-01-23,3,3017
2010-01-24,3,1975
2010-01-25,3,12538
2010-01-26,3,12786
2010-01-27,3,12497
2010-01-28,3,12401
2010-01-29,3,10018
2010-01-30,3,2905
2010-01-31,3,1836
2010-02-01,3,12724
2010-02-02,3,12852
2010-02-03,3,12646
2010-02-04,3,12592
2010-02-05,3,10451
2010-02-06,3,2974
2010-02-07,3,1925
2010-02-08,3,12036
2010-02-09,3,12667
2010-02-10,3,12781
2010-02-11,3,12732
2010-02-12,3,10764
2010-02-13,3,3123
2010-02-14,3,2275
2010-02-15,3,11050
2010-02-16,3,12901
2010-02-17,3,12631
2010-02-18,3,12048
2010-02-19,3,10401
2010-02-20,3,3045
2010-02-21,3,1985
2010-02-22,3,12109
2010-02-23,3,12079
2010-02-24,3,11772
2010-02-25,3,12489
2010-02-26,3,9995
2010-02-27,3,2860
2010-02-28,3,2094
2010-03-01,3,11722
2010-03-02,3,11668
2010-03-03,3,12581
2010-03-04,3,11947
2010-03-05,3,10474
2010-03-06,3,2925
2010-03-07,3,2277
2010-03-08,3,12034
2010-03-09,3,11719
2010-03-10,3,11660
2010-03-11,3,11684
2010-03-12,3,9208
2010-03-13,3,2588
2010-03-14,3,1974
2010-03-15,3,6321
2010-03-16,3,6074
2010-03-17,3,7767
2010-03-18,3,6429
2010-03-19,3,5560
2010-03-20,3,2529
2010-03-21,3,1991
2010-03-22,3,10956
2010-03-23,3,11206
2010-03-24,3,11315
2010-03-25,3,11379
2010-03-26,3,9562
2010-03-27,3,3402
2010-03-28,3,1995
2010-03-29,3,10429
2010-03-30,3,10926
2010-03-31,3,10712
2010-04-01,3,10772
2010-04-02,3,9127
2010-04-03,3,3065
2010-04-04,3,1728
2010-04-05,3,10722
2010-04-06,3,11667
2010-04-07,3,10851
2010-04-08,3,11434
2010-04-09,3,9319
2010-04-10,3,3264
2010-04-11,3,2245
2010-04-12,3,10799
2010-04-13,3,11265
2010-04-14,3,11428
2010-04-15,3,11395
2010-04-16,3,9749
2010-04-17,3,3103
2010-04-18,3,2320
2010-04-19,3,10553
2010-04-20,3,11157
2010-04-21,3,11427
2010-04-22,3,11450
2010-04-23,3,9271
2010-04-24,3,2673
2010-04-25,3,2196
2010-04-26,3,10460
2010-04-27,3,10831
2010-04-28,3,10614
2010-04-29,3,10820
2010-04-30,3,9321
2010-05-01,3,3477
2010-05-02,3,2332
2010-05-03,3,11091
2010-05-04,3,11235
2010-05-05,3,11032
2010-05-06,3,10843
2010-05-07,3,9421
2010-05-08,3,3225
2010-05-09,3,1891
2010-05-10,3,8242
2010-05-11,3,8928
2010-05-12,3,8871
2010-05-13,3,8799
2010-05-14,3,7728
2010-05-15,3,3292
2010-05-16,3,1908
2010-05-17,3,5626
2010-05-18,3,6060
2010-05-19,3,5874
2010-05-20,3,5700
2010-05-21,3,5823
2010-05-22,3,2478
2010-05-23,3,1781
2010-05-24,3,5959
2010-05-25,3,6347
2010-05-26,3,6182
2010-05-27,3,6269
2010-05-28,3,5867
2010-05-29,3,2521
2010-05-30,3,1811
2010-05-31,3,2001
2010-06-01,3,6193
2010-06-02,3,6260
2010-06-03,3,6224
2010-06-04,3,6033
2010-06-05,3,2329
2010-06-06,3,1839
2010-06-07,3,6026
2010-06-08,3,5822
2010-06-09,3,6258
2010-06-10,3,5946
2010-06-11,3,5478
2010-06-12,3,2275
2010-06-13,3,1802
2010-06-14,3,5888
2010-06-15,3,6449
2010-06-16,3,6431
2010-06-17,3,5936
2010-06-18,3,5683
2010-06-19,3,2533
2010-06-20,3,1929
2010-06-21,3,5861
2010-06-22,3,6021
2010-06-23,3,5853
2010-06-24,3,6242
2010-06-25,3,5206
2010-06-26,3,2181
2010-06-27,3,1904
2010-06-28,3,5811
2010-06-29,3,6337
2010-06-30,3,6210
2010-07-01,3,6450
2010-07-02,3,5344
2010-07-03,3,2366
2010-07-04,3,1876
2010-07-05,3,1804
2010-07-06,3,5922
2010-07-07,3,5888
2010-07-08,3,6261
2010-07-09,3,5592
2010-07-10,3,2160
2010-07-11,3,1849
2010-07-12,3,5901
2010-07-13,3,6333
2010-07-14,3,5858
2010-07-15,3,6313
2010-07-16,3,5857
2010-07-17,3,2357
2010-07-18,3,2003
2010-07-19,3,5754
2010-07-20,3,6038
2010-07-21,3,6286
2010-07-22,3,5734
2010-07-23,3,5448
2010-07-24,3,2703
2010-07-25,3,1816
2010-07-26,3,5879
2010-07-27,3,5636
2010-07-28,3,6343
2010-07-29,3,5902
2010-07-30,3,5285
2010-07-31,3,2547
2010-08-01,3,1940
