RouteClass,year,month,date,gas_price,monthly_riders,prediction,residual
CoreLoc,2016,3,2016-03-01,1.95075,3904003,3859079.0877977367,44923.91220226325
CoreLoc,2016,4,2016-04-01,1.9625,3774871,3771789.0372138172,3081.962786182761
CoreLoc,2016,5,2016-05-01,2.1708000000000003,3708133,3782494.7110760724,-74361.71107607242
CoreLoc,2016,6,2016-06-01,2.25325,3572305,3560398.946745939,11906.053254060913
CoreLoc,2016,7,2016-07-01,2.1165,3403571,3367265.3744555884,36305.625544411596
CoreLoc,2016,8,2016-08-01,2.1438,3662535,3527398.6605611844,135136.3394388156
CoreLoc,2016,9,2016-09-01,2.1715,3860668,3891397.180088353,-30729.180088352878
CoreLoc,2016,10,2016-10-01,2.1396,3869070,3984766.152868251,-115696.15286825085
CoreLoc,2016,11,2016-11-01,1.99075,3618972,3545431.3071146705,73540.69288532948
CoreLoc,2016,12,2016-12-01,2.107,3331541,3633375.227425294,-301834.227425294
CoreLoc,2017,1,2017-01-01,2.3032,3488439,3723540.0685037123,-235101.0685037123
CoreLoc,2017,2,2017-02-01,2.25975,3473754,3744226.8297274075,-270472.82972740754
CoreLoc,2017,3,2017-03-01,2.253,3839636,4024065.9269217704,-184429.92692177044
CoreLoc,2017,4,2017-04-01,2.30075,3568320,3956426.914248406,-388106.91424840596
CoreLoc,2017,5,2017-05-01,2.2923999999999998,3682691,3848871.5502406126,-166180.5502406126
CoreLoc,2017,6,2017-06-01,2.2595,3493127,3563810.5852720775,-70683.58527207747
CoreLoc,2017,7,2017-07-01,2.2282,3320617,3428238.178194727,-107621.17819472682
CoreLoc,2017,8,2017-08-01,2.299,3538412,3612116.468442243,-73704.46844224306
LRT,2014,1,2014-01-01,3.218,680128.0000000003,859230.331554675,-179102.33155467466
LRT,2014,2,2014-02-01,3.29025,602900,851790.3793463343,-248890.37934633426
LRT,2014,3,2014-03-01,3.5058,698451.0000000005,1007903.4895043734,-309452.48950437293
LRT,2014,4,2014-04-01,3.51675,794306.9999999998,1034236.0118976599,-239929.0118976601
LRT,2014,5,2014-05-01,3.49525,843925.9999999991,1110581.7241966454,-266655.72419664636
LRT,2014,6,2014-06-01,3.5444,1381469.0000000002,1316508.7023042068,64960.297695793444
LRT,2014,7,2014-07-01,3.4505,1896184.0000000007,1517583.1779571609,378600.82204283983
LRT,2014,8,2014-08-01,3.33725,1851752.9999999986,1532283.6474480233,319469.3525519753
LRT,2014,9,2014-09-01,3.2638000000000003,1888857.000000001,1628077.3354561464,260779.66454385454
LRT,2014,10,2014-10-01,3.0495,1943286.999999999,1780655.1940329107,162631.80596708832
LRT,2014,11,2014-11-01,2.85825,1758678.0000000014,1615548.6349709178,143129.36502908356
LRT,2014,12,2014-12-01,2.407,1660053,1598302.5297636613,61750.470236338675
LRT,2015,1,2015-01-01,1.9565000000000001,1603094.0000000016,1464989.2088872741,138104.7911127275
