"","MMSI","LON","LAT"
"576",366863870,-72.35817,41.08749
"577",368084090,-90.14275,29.95106
"578",316005971,-84.40321,46.5018
"579",367614790,-157.8782,21.31669
"580",368195460,-122.36062,37.74293
"581",366941830,-94.80459,29.35789
"582",366941830,-94.78741,29.3494
"583",368084090,-90.13713,29.9339
"584",316005971,-84.40325,46.50183
"585",366863870,-72.35819,41.08751
"586",368140160,-87.1443,30.33476
"587",368195460,-122.36335,37.74652
"588",368140160,-87.1443,30.33476
"589",366863870,-72.35689,41.0923
"590",368084090,-90.14903,29.95536
"591",316005971,-84.40324,46.50184
"592",368084090,-90.14739,29.95551
"593",366863870,-72.35823,41.08754
"594",368084090,-90.13752,29.93763
"595",368084090,-90.15402,29.95298
"596",368195460,-122.36673,37.75048
"597",368195460,-122.36198,37.74472
"598",366941830,-94.80895,29.35972
"599",368195460,-122.36743,37.75137
"600",368118150,-122.32993,47.39791
"601",368195460,-122.36267,37.7456
"602",366863870,-72.35818,41.08754
"603",338379253,-117.89592,33.61999
"604",368084090,-90.14577,29.955
"605",316005971,-84.40323,46.50184
"606",368084090,-90.13796,29.93962
"607",366941830,-94.80247,29.35699
"608",368195460,-122.36002,37.74208
"609",368195460,-122.36592,37.74962
"610",366941830,-94.81972,29.36469
"611",368140160,-87.1443,30.33476
"612",368084090,-90.14499,29.95445
"613",366863870,-72.35817,41.08756
"614",368140160,-87.1443,30.33476
"615",368195460,-122.36408,37.74742
"616",366863870,-72.35757,41.09721
"617",366941830,-94.82842,29.36846
"618",316005971,-84.40326,46.50184
"619",368118150,-122.32984,47.39789
"620",366941830,-94.82183,29.36569
"621",366941830,-94.80044,29.35608
"622",366941830,-94.8262,29.36753
"623",368084090,-90.1403,29.94538
"624",368084090,-90.15603,29.95241
"625",368140160,-87.1443,30.33476
"626",366941830,-94.81757,29.36376
"627",366941830,-94.83072,29.36918
"628",367614790,-157.87821,21.31669
"629",366941830,-94.82405,29.36659
"630",368195460,-122.3685,37.75267
"631",366863870,-72.35783,41.08884
"632",316005971,-84.40323,46.50183
"633",367614790,-157.8782,21.31669
"634",366863870,-72.35697,41.09078
"635",316005971,-84.40323,46.50183
"636",368118150,-122.32988,47.39788
"637",368118150,-122.32994,47.39789
"638",367614790,-157.87821,21.31668
"639",368195460,-122.36128,37.74382
"640",316005971,-84.40323,46.50183
"641",316005971,-84.40324,46.50182
"642",368084090,-90.16307,29.9494
"643",368118150,-122.3299,47.39787
"644",316005971,-84.40322,46.50183
"645",368118150,-122.32987,47.39794
"646",366863870,-72.3615,41.10001
"647",316005971,-84.40323,46.50183
"648",366941830,-94.81572,29.36297
"649",366863870,-72.35819,41.08758
"650",366863870,-72.36148,41.09997
"651",368084090,-90.15974,29.95126
"652",316005971,-84.40321,46.50183
"653",316005971,-84.40323,46.50184
"654",366941830,-94.84188,29.37234
"655",368195460,-122.37313,37.75777
"656",366941830,-94.8136,29.36212
"657",368195460,-122.36515,37.74872
"658",368195460,-122.37457,37.75935
"659",367614790,-157.87821,21.31669
"660",366863870,-72.35902,41.09896
"661",368084090,-90.16128,29.95044
"662",368084090,-90.16783,29.94556
"663",368140160,-87.1443,30.33476
