OBJECTID_1,FID_District_Council_Merge,objectid,districtnu,planning_1,FID_TransitRoutes,route,route_oper,RouteClass,routedscrp,routesort,RoutePayLe,EffectiveD,PayLeaveDi,wk_ftrip,wk_ltrip,wk_span,wk_trip_fr,sat_ftrip,sat_ltrip,sat_span,sat_trip_f,sun_ftrip,sun_ltrip,sun_span,sun_trip_f,fri_ftrip,fri_ltrip,fri_span,fri_trip_f,hol_ftrip,hol_ltrip,hol_span,hol_trip_f,Shape_Leng,Shape_Length
61,21,4,,Central,22,252,M,CommExpress,Express - 95Av P&R - U of M,252,-1,2021-08-21,4,7:10:00 AM,5:11:00 PM,10:01,10, , , ,0, , , ,0, , , ,0, , , ,0,52764.75256,0.007501798071
62,22,5,,University,22,252,M,CommExpress,Express - 95Av P&R - U of M,252,-1,2021-08-21,4,7:10:00 AM,5:11:00 PM,10:01,10, , , ,0, , , ,0, , , ,0, , , ,0,52764.75256,0.02178539576
63,4,21,4,Dayton's Bluff,25,275,M,CommExpress,Express - Co Rd 14 P&R - St Paul,275,-1,2021-08-21,4,6:03:00 AM,5:11:00 PM,11:08,12, , , ,0, , , ,0, , , ,0, , , ,0,58969.25471,0.003751975242
64,7,24,6,North End,25,275,M,CommExpress,Express - Co Rd 14 P&R - St Paul,275,-1,2021-08-21,4,6:03:00 AM,5:11:00 PM,11:08,12, , , ,0, , , ,0, , , ,0, , , ,0,58969.25471,0.02165994331
65,11,28,7,Frogtown,25,275,M,CommExpress,Express - Co Rd 14 P&R - St Paul,275,-1,2021-08-21,4,6:03:00 AM,5:11:00 PM,11:08,12, , , ,0, , , ,0, , , ,0, , , ,0,58969.25471,0.001276101587
66,13,30,17,Downtown,25,275,M,CommExpress,Express - Co Rd 14 P&R - St Paul,275,-1,2021-08-21,4,6:03:00 AM,5:11:00 PM,11:08,12, , , ,0, , , ,0, , , ,0, , , ,0,58969.25471,0.01468271934
67,14,31,5,Payne - Phalen,25,275,M,CommExpress,Express - Co Rd 14 P&R - St Paul,275,-1,2021-08-21,4,6:03:00 AM,5:11:00 PM,11:08,12, , , ,0, , , ,0, , , ,0, , , ,0,58969.25471,0.04775439994
68,16,33,1,Battle Creek - Conway - Eastview - Highwood Hills,26,294,M,CommExpress,Express - Oakdale - Stillwater - St Paul,294,-1,2021-12-04,2,6:09:00 AM,5:24:00 PM,11:15,4, , , ,0, , , ,0, , , ,0, , , ,0,68348.64226,0.008640647276
69,5,22,12,Saint Anthony Park,27,3,M,CoreLoc,U of M - Como Av - Energy Park Dr - Maryland Av,3,0,2022-08-20,0,4:01:00 AM,2:16:00 AM,22:15,369,4:01:00 AM,2:11:00 AM,22:10,133,4:01:00 AM,2:05:00 AM,22:04,75, , , ,0, , , ,0,49665.9277,0.03456172673
70,6,23,10,Como Park,27,3,M,CoreLoc,U of M - Como Av - Energy Park Dr - Maryland Av,3,0,2022-08-20,0,4:01:00 AM,2:16:00 AM,22:15,369,4:01:00 AM,2:11:00 AM,22:10,133,4:01:00 AM,2:05:00 AM,22:04,75, , , ,0, , , ,0,49665.9277,0.1342280338
71,7,24,6,North End,27,3,M,CoreLoc,U of M - Como Av - Energy Park Dr - Maryland Av,3,0,2022-08-20,0,4:01:00 AM,2:16:00 AM,22:15,369,4:01:00 AM,2:11:00 AM,22:10,133,4:01:00 AM,2:05:00 AM,22:04,75, , , ,0, , , ,0,49665.9277,0.04880781298
72,11,28,7,Frogtown,27,3,M,CoreLoc,U of M - Como Av - Energy Park Dr - Maryland Av,3,0,2022-08-20,0,4:01:00 AM,2:16:00 AM,22:15,369,4:01:00 AM,2:11:00 AM,22:10,133,4:01:00 AM,2:05:00 AM,22:04,75, , , ,0, , , ,0,49665.9277,0.01279265043
73,13,30,17,Downtown,27,3,M,CoreLoc,U of M - Como Av - Energy Park Dr - Maryland Av,3,0,2022-08-20,0,4:01:00 AM,2:16:00 AM,22:15,369,4:01:00 AM,2:11:00 AM,22:10,133,4:01:00 AM,2:05:00 AM,22:04,75, , , ,0, , , ,0,49665.9277,0.001297469591
74,20,3,,Near North,27,3,M,CoreLoc,U of M - Como Av - Energy Park Dr - Maryland Av,3,0,2022-08-20,0,4:01:00 AM,2:16:00 AM,22:15,369,4:01:00 AM,2:11:00 AM,22:10,133,4:01:00 AM,2:05:00 AM,22:04,75, , , ,0, , , ,0,49665.9277,0.0008455263088
75,21,4,,Central,27,3,M,CoreLoc,U of M - Como Av - Energy Park Dr - Maryland Av,3,0,2022-08-20,0,4:01:00 AM,2:16:00 AM,22:15,369,4:01:00 AM,2:11:00 AM,22:10,133,4:01:00 AM,2:05:00 AM,22:04,75, , , ,0, , , ,0,49665.9277,0.01161365736
76,22,5,,University,27,3,M,CoreLoc,U of M - Como Av - Energy Park Dr - Maryland Av,3,0,2022-08-20,0,4:01:00 AM,2:16:00 AM,22:15,369,4:01:00 AM,2:11:00 AM,22:10,133,4:01:00 AM,2:05:00 AM,22:04,75, , , ,0, , , ,0,49665.9277,0.05103541689
77,5,22,12,Saint Anthony Park,28,30,P,SupportLoc,Broadway Crosstown - Westgate Sta,30,0,2021-08-21,0,5:15:00 AM,10:47:00 PM,17:32,64,6:55:00 AM,9:23:00 PM,14:28,50,6:55:00 AM,9:23:00 PM,14:28,50, , , ,0, , , ,0,27682.85568,0.04192644047
78,19,2,,Northeast,28,30,P,SupportLoc,Broadway Crosstown - Westgate Sta,30,0,2021-08-21,0,5:15:00 AM,10:47:00 PM,17:32,64,6:55:00 AM,9:23:00 PM,14:28,50,6:55:00 AM,9:23:00 PM,14:28,50, , , ,0, , , ,0,27682.85568,0.06952317996
