ID,TYPE,CORRIDOR,YR_START1,YR_END1,YR_START2,PRIV_ROW,Shape_Leng
45,1948 Bus Route,,0,19501954,0,FALSE,962.364691643
49,1948 Bus Route,,0,19501954,0,FALSE,4454.36897107
38,1948 Bus Route,,0,19501954,0,FALSE,15547.1226654
38,1948 Bus Route,,0,19501954,0,FALSE,3501.46123302
39,1948 Bus Route,,0,19501954,0,FALSE,7095.92016809
39,1948 Bus Route,,0,19501954,0,FALSE,24620.8706329
44,1948 Bus Route,,0,19501954,0,FALSE,15516.1563475
0,1948 Bus Route,,0,19501954,0,FALSE,12682.2594559
0,1948 Bus Route,,0,19501954,0,FALSE,4419.05265813
80,1948 Bus Route,,0,19501954,0,FALSE,3220.37252772
36,1948 Bus Route,,0,19501954,0,FALSE,3452.031105
36,1948 Bus Route,,0,19501954,0,FALSE,6071.64300577
43,1948 Bus Route,,0,19501954,0,FALSE,4136.9946757
43,1948 Bus Route,,0,19501954,0,FALSE,9227.55091273
27,1948 Bus Route,,0,19501954,0,FALSE,8691.30631301
56,Streetcar,28th Ave_34th Ave,1925,1928,0,FALSE,404.633698964
57,Streetcar,28th Ave_34th Ave,1926,19501954,0,FALSE,4294.28755222
58,Streetcar,28th Ave_34th Ave,1921,1933,0,FALSE,2007.5137031
66,Streetcar,28th Ave_34th Ave,1914,19501954,0,FALSE,1401.00249542
71,Streetcar,28th Ave_34th Ave,1929,19501954,0,FALSE,1210.06392038
72,Streetcar,28th Ave_34th Ave,1913,19501954,0,FALSE,1588.54967389
73,Streetcar,28th Ave_34th Ave,1914,1926,0,FALSE,740.75
74,Streetcar,28th Ave_34th Ave,1912,19501954,0,FALSE,2805.70485616
181,Streetcar,28th Ave_34th Ave,1889,19501954,0,FALSE,2835.91192591
198,Streetcar,28th Ave_34th Ave,1914,19501954,0,FALSE,1808.04224366
256,Streetcar,28th Ave_34th Ave,1891,19501954,0,FALSE,3500.00769932
293,Streetcar,28th Ave_34th Ave,1890,19501954,0,FALSE,2124.70769562
68,Streetcar,25th St E,1921,19501954,0,FALSE,4187.37071616
70,Streetcar,25th St E,1927,19501954,0,FALSE,924.018696157
104,Streetcar,25th St E,1923,19501954,0,FALSE,1004.82153159
105,Streetcar,25th St E,1912,19501954,0,FALSE,2618.18320795
293,Streetcar,25th St E,1890,19501954,0,FALSE,1998.00872449
348,Streetcar,25th St E,1891,19501954,0,FALSE,872.415652643
19,Streetcar,2nd St NE,1915,19501954,0,FALSE,203.720804245
20,Streetcar,2nd St NE,1912,19501954,0,FALSE,1013.70351606
21,Streetcar,2nd St NE,1891,19501954,0,FALSE,3325.3809051
329,Streetcar,2nd St NE,1890,19501954,0,FALSE,2673.93044474
61,Streetcar,4th Ave,1923,19501954,0,FALSE,2007.14155993
67,Streetcar,4th Ave,1890,19501954,0,FALSE,801.522480008
180,Streetcar,4th Ave,1889,19501954,0,FALSE,4851.70144674
15,Streetcar,6th Ave N,1893,1940,0,FALSE,213.595303705
16,Streetcar,6th Ave N,1891,1940,0,FALSE,2275.22446606
175,Streetcar,6th Ave N,1891,1897,0,FALSE,416.443897079
294,Streetcar,6th Ave N,1890,19501954,0,FALSE,2327.70453038
388,Streetcar,6th Ave N,1890,19501954,0,FALSE,629.995794135
59,Streetcar,Bloomington Ave,1933,19501954,0,FALSE,398.521504686
62,Streetcar,Bloomington Ave,1928,19501954,0,FALSE,803.038849558
65,Streetcar,Bloomington Ave,1922,19501954,0,FALSE,2003.02405458
75,Streetcar,Bloomington Ave,1911,19501954,0,FALSE,803.002337423
76,Streetcar,Bloomington Ave,1905,19501954,0,FALSE,378.005973002
271,Streetcar,Bloomington Ave,1892,19501954,0,FALSE,5424.56676984
10,Streetcar,Broadway,1923,19501954,0,FALSE,949.443807868
189,Streetcar,Broadway,1891,19501954,0,FALSE,1795.74513746
193,Streetcar,Broadway,1914,19501954,0,FALSE,203.395438817
195,Streetcar,Broadway,1891,19501954,0,FALSE,643.466367505
272,Streetcar,Broadway,1914,19501954,0,FALSE,1959.50369872
49,Streetcar,Bryant Ave S,1911,19501954,0,FALSE,805.501451997
50,Streetcar,Bryant Ave S,1893,19501954,0,FALSE,1611.55262104
51,Streetcar,Bryant Ave S,1891,19501954,0,FALSE,1391.5829894
54,Streetcar,Bryant Ave S,1891,19501954,0,FALSE,4696.28231123
156,Streetcar,Bryant Ave S,1891,1905,0,FALSE,396.292414616
178,Streetcar,Bryant Ave S,1927,19501954,0,FALSE,2216.62383404
380,Streetcar,Bryant Ave S,1905,19501954,0,FALSE,395.492532501
385,Streetcar,Bryant Ave S,1890,1891,1891,FALSE,815.210299999
17,Streetcar,Bryn Maur,1928,1939,0,FALSE,620.564494743
119,Streetcar,Bryn Maur,1890,19501954,0,FALSE,1812.03090202
177,Streetcar,Bryn Maur,1892,1939,0,FALSE,2159.30619655
360,Streetcar,Cherokee,1890,19501954,0,FALSE,5017.93237676
60,Streetcar,Chicago Ave,1928,19501954,0,FALSE,1208.03625593
63,Streetcar,Chicago Ave,1922,19501954,0,FALSE,400.020929115
64,Streetcar,Chicago Ave,1904,19501954,0,FALSE,2205.10075647
325,Streetcar,Chicago Ave,1890,19501954,0,FALSE,5484.01214684
18,Streetcar,Columbia Heights,1906,19501954,0,FALSE,997.446632971
25,Streetcar,Columbia Heights,1891,19501954,0,FALSE,3549.37564401
165,Streetcar,Columbia Heights,1917,1953,0,TRUE,2069.63787503
274,Streetcar,Columbia Heights,1893,19501954,0,FALSE,2287.18864423
330,Streetcar,Columbia Heights,1920,19501954,0,FALSE,1175.92368483
335,Streetcar,Columbia Heights,0,19501954,0,FALSE,1622.09457307
32,Streetcar,Como_Harriet_Oak_Xer,1891,19501954,0,FALSE,958.41702907
